Název;Město;Země;Kód kategorie
Elektrotechnický zkušební ústav, s.p.;Praha;CZ;PRO-03
ČSOB Leasing, a.s.;Praha;CZ;PRO-06
UNIQA pojišťovna, a.s.;Praha;CZ;PRO-06
RENOMIA, a.s.;Brno;CZ;PRO-06
Raiffeisen - Leasing, s.r.o.;Praha;CZ;PRO-06
Grafton Recruitment s.r.o.;Praha;CZ;PRO-05
ManpowerGroup s.r.o.;Praha;CZ;PRO-05
Adecco spol. s r.o.;Praha;CZ;PRO-05
Hofmann Personal, spol. s r.o.;Plzeň;CZ;PRO-05
Deloitte Advisory s.r.o.;Praha;CZ;PRO-01
KPMG Česká republika, s.r.o.;Praha;CZ;PRO-01
BDO Czech Republic s.r.o.;Praha;CZ;PRO-01
Grant Thornton Advisory s.r.o.;Praha;CZ;PRO-01
HAVEL & PARTNERS s.r.o., advokátní kancelář;Praha;CZ;PRO-02
Kocián Šolc Balaštík, advokátní kancelář, s.r.o.;Praha;CZ;PRO-02
PRK Partners s.r.o., advokátní kancelář;Praha;CZ;PRO-02
ROWAN LEGAL, advokátní kancelář s.r.o.;Praha;CZ;PRO-02
SUDOP PRAHA a.s.;Praha;CZ;PRO-04
PUDIS a.s.;Praha;CZ;PRO-04
Valbek, spol. s r.o.;Praha;CZ;PRO-04
HBH Projekt spol. s r.o.;Brno;CZ;PRO-04
INSET s.r.o.;Praha;CZ;PRO-04
DEKPROJEKT s.r.o.;Praha;CZ;PRO-04
DACHSER Czech Republic a.s.;Kladno;CZ;LOG-01
DB Schenker;Praha;CZ;LOG-01
Gebrüder Weiss s.r.o.;Jeneč;CZ;LOG-01
C.S.CARGO a.s.;Jičín;CZ;LOG-01
OKIN FACILITY a.s.;Ostrava;CZ;FAC-03
ISS Facility Services s.r.o.;Praha;CZ;FAC-03
AB Facility a.s.;Praha;CZ;FAC-03
Atalian CZ s.r.o.;Praha;CZ;FAC-03
PPL CZ s.r.o.;Říčany;CZ;LOG-02
General Logistics Systems Czech Republic s.r.o.;Jihlava;CZ;LOG-02
Zásilkovna s.r.o.;Praha;CZ;LOG-02
DHL Express (Czech Republic) s.r.o.;Praha;CZ;LOG-02
ALD Automotive s.r.o.;Praha;CZ;LOG-04
Business Lease Czech Republic, s.r.o.;Praha;CZ;LOG-04
Arval CZ s.r.o.;Praha;CZ;LOG-04
Přerost a Švorc - auto, s.r.o.;Praha;CZ;LOG-03
AutoESA a.s.;Praha;CZ;LOG-03
Porsche Česká republika s.r.o.;Praha;CZ;LOG-03
SIGMA GROUP a.s.;Lutín;CZ;STR-05
ARMATURY Group a.s.;Dolní Benešov;CZ;STR-05
LDM, spol. s r.o.;Česká Třebová;CZ;STR-05
KSB - PUMPY + ARMATURY s.r.o.;Praha;CZ;STR-05
Atlas Copco s.r.o.;Praha;CZ;STR-06
Kaeser Kompressory, s.r.o.;Praha;CZ;STR-06
ORLÍK-KOMPRESORY výrobní družstvo;Česká Třebová;CZ;STR-06
Linde Material Handling Česká republika s.r.o.;Praha;CZ;STR-07
Jungheinrich (ČR) s.r.o.;Praha;CZ;STR-07
Toyota Material Handling Czech s.r.o.;Rudná;CZ;STR-07
STILL ČR spol. s r.o.;Praha;CZ;STR-07
MISAN s.r.o.;Lysá nad Labem;CZ;STR-02
Yamazaki Mazak Central Europe s.r.o.;Praha;CZ;STR-02
TOS VARNSDORF a.s.;Varnsdorf;CZ;STR-02
FANUC Czech s.r.o.;Praha;CZ;STR-01
KUKA CEE GmbH;Praha;CZ;STR-01
B+R automatizace, spol. s r.o.;Brno;CZ;STR-01
Blumenbecker Prag s.r.o.;Praha;CZ;STR-01
Dormer Pramet s.r.o.;Šumperk;CZ;STR-04
ISCAR ČR s.r.o.;Praha;CZ;STR-04
Sandvik CZ s.r.o.;Praha;CZ;STR-04
HAM-FINAL s.r.o.;Brno;CZ;STR-04
AMTECH, spol. s r.o.;Pardubice;CZ;STR-02
SMTplus s.r.o.;Pchery;CZ;STR-02
DAIKIN Airconditioning Central Europe - Czech Republic spol. s r.o.;Praha;CZ;STR-08
AZ KLIMA a.s.;Brno;CZ;STR-08
REMAK a.s.;Rožnov pod Radhoštěm;CZ;STR-08
Systemair a.s.;Hodonín;CZ;STR-08
Demag Cranes & Components s.r.o.;Slaný;CZ;STR-07
ABUS Jeřáby s.r.o.;Chomutov;CZ;STR-07
ITECO s.r.o.;Modletice;CZ;STR-07
SONEPAR Česká republika spol. s r.o.;Ostrava;CZ;ELE-08
ELFETEX, spol. s r.o.;Plzeň;CZ;ELE-08
ARGOS ELEKTRO, a.s.;Jirkov;CZ;ELE-08
ČEZ Prodej, a.s.;Praha;CZ;FAC-05
Pražská energetika, a.s.;Praha;CZ;FAC-05
Marius Pedersen a.s.;Hradec Králové;CZ;FAC-05
FCC Environment s.r.o.;Praha;CZ;FAC-05
OFFICEO s.r.o.;Praha;CZ;PROV-03
ACTIVA spol. s r.o.;Praha;CZ;PROV-03
Hilti ČR spol. s r.o.;Praha;CZ;PROV-01
Würth, spol. s r.o.;Praha;CZ;PROV-01
Cerva Group a.s.;Jinočany;CZ;PROV-04
ARDON SAFETY s.r.o.;Zlín;CZ;PROV-04
UVEX SAFETY CZ, k.s.;Rychnov nad Kněžnou;CZ;PROV-04
OSRAM Česká republika s.r.o.;Bruntál;CZ;PROV-06
HALLA, a.s.;Jihlava;CZ;PROV-06
TREVOS, a.s.;Turnov;CZ;PROV-06
MODUS, spol. s r.o.;Pardubice;CZ;PROV-06
GHC Invest, s.r.o.;Praha;CZ;FAC-07
PYROSERVIS a.s.;Praha;CZ;FAC-07
Lindström s.r.o.;Brno;CZ;PROV-05
CWS-boco Česko s.r.o.;Praha;CZ;PROV-05
TECHO, a.s.;Praha;CZ;PROV-03
Kinnarps s.r.o.;Praha;CZ;PROV-03
PROMAN s.r.o.;Chrudim;CZ;STR-07
KILLICH s.r.o.;Praha;CZ;PROV-01
Bufab CZ s.r.o.;Brno;CZ;PROV-01
Fabory CZ Holding s.r.o.;Praha;CZ;PROV-01
Metrostav a.s.;Praha;CZ;FAC-01
STRABAG a.s.;Praha;CZ;FAC-01
HOCHTIEF CZ a. s.;Praha;CZ;FAC-01
IMOS Brno, a.s.;Brno;CZ;FAC-01
Haberkorn s.r.o.;Mokré Lazce;CZ;PROV-02
HENNLICH s.r.o.;Litoměřice;CZ;PROV-02
GUMEX, spol. s r.o.;Strážnice;CZ;PROV-02
TART, s.r.o.;Brno;CZ;MAT-09
Richter+Frenzel s.r.o.;Praha;CZ;FAC-02
Vaillant Group Czech s.r.o.;Praha;CZ;FAC-02
GIENGER spol. s r.o.;Praha;CZ;FAC-02
JABLOTRON SECURITY a.s.;Jablonec nad Nisou;CZ;FAC-08
Trade FIDES, a.s.;Brno;CZ;FAC-08
MCAE Systems, s.r.o.;Kuřim;CZ;MAT-05
Prusa Research a.s.;Praha;CZ;MAT-05
Ferona, a.s.;Praha;CZ;MAT-06
ITALINOX, spol. s r.o.;Praha;CZ;MAT-06
JKZ Bučovice, a.s.;Bučovice;CZ;MAT-06
EXCON, a.s.;Praha;CZ;MAT-02
MCE Slaný s.r.o.;Slaný;CZ;MAT-02
Model Obaly a.s.;Opava;CZ;MAT-09
THIMM Obaly, k.s.;Všetaty;CZ;MAT-09
Servisbal Obaly s.r.o.;Dobruška;CZ;MAT-09
DS Smith Packaging Czech Republic s.r.o.;Kladno;CZ;MAT-09
WIEGEL CZ žárové zinkování s.r.o.;Bystřice;CZ;MAT-03
Galvanoplast Fischer s.r.o.;Přerov;CZ;MAT-03
FUCHS OIL CORPORATION (CZ), spol. s r.o.;Kolín;CZ;MAT-08
Klüber Lubrication CZ, s.r.o.;Praha;CZ;MAT-08
Sika CZ, s.r.o.;Brno;CZ;MAT-08
GUMÁRNY ZUBŘÍ, akciová společnost;Zubří;CZ;MAT-04
PLASTIKA a.s.;Kroměříž;CZ;MAT-04
Fatra, a.s.;Napajedla;CZ;MAT-04
Ensinger s.r.o.;Praha;CZ;MAT-07
Resinex Czech Republic s.r.o.;Praha;CZ;MAT-07
Skřivánek s.r.o.;Praha;CZ;FIR-05
PRESTO - PŘEKLADATELSKÉ CENTRUM s.r.o.;Praha;CZ;FIR-05
Channel Crossings s.r.o.;Praha;CZ;FIR-05
Economia, a.s.;Praha;CZ;FIR-03
CZECH NEWS CENTER a.s.;Praha;CZ;FIR-03
Vltava Labe Media a.s.;Praha;CZ;FIR-03
Wolters Kluwer ČR, a. s.;Praha;CZ;FIR-04
Nakladatelství C. H. Beck, s.r.o.;Praha;CZ;FIR-04
ANAG, spol. s r. o.;Olomouc;CZ;FIR-04
Ogilvy s.r.o.;Praha;CZ;FIR-01
McCann Prague spol. s r.o.;Praha;CZ;FIR-01
Havas Prague s.r.o.;Praha;CZ;FIR-01
Tiskárny Havlíčkův Brod a.s.;Havlíčkův Brod;CZ;FIR-02
H.R.G. spol. s r.o.;Litomyšl;CZ;FIR-02
EUROPRINT a.s.;Praha;CZ;FIR-02
GRADUA-CEGOS, s.r.o.;Praha;CZ;FIR-04
1. VOX a.s.;Praha;CZ;FIR-04
TSM, spol. s r.o.;Vsetín;CZ;FIR-04
COMTES FHT a.s.;Dobřany;CZ;PRO-07
ÚJV Řež, a. s.;Husinec;CZ;PRO-07
SVÚM a.s.;Čelákovice;CZ;PRO-07
Národní divadlo;Praha;CZ;FIR-09
Česká filharmonie;Praha;CZ;FIR-09
Aquapalace Praha s.r.o.;Praha;CZ;FIR-08
Strojírna Oslavany, spol. s r.o.;Oslavany;CZ;MAT-01
MICROMETAL, spol. s r.o.;Frýdlant;CZ;MAT-01
Kovolis Hedvikov a.s.;Třemošnice;CZ;MAT-01
BENEŠ a LÁT a.s.;Poříčany;CZ;MAT-01
SETOS spol. s r.o.;Pardubice;CZ;PROV-04
STÚ-K, a.s.;Praha;CZ;PRO-04
ELKOV elektro a.s.;Brno;CZ;ELE-08
innogy Energie, s.r.o.;Praha;CZ;FAC-05
Pražské vodovody a kanalizace, a.s.;Praha;CZ;FAC-05
SAKO Brno, a.s.;Brno;CZ;FAC-06
PROMA CZ s.r.o.;Mělník;CZ;PROV-01
Tona a.s.;Pečky;CZ;PROV-01
TRILUX s.r.o.;Praha;CZ;PROV-06
ELKOVO Čepelík s.r.o.;Sázava;CZ;PROV-06
Rentex spol. s r.o.;Chrudim;CZ;PROV-05
Bossard CZ s.r.o.;Bílovice nad Svitavou;CZ;PROV-01
Woodcote CZ, a.s.;Louňovice;CZ;PROV-01
ABBAS, a.s.;Brno;CZ;FAC-08
Raben Logistics Czech s.r.o.;Zdiby;CZ;LOG-01
Geis CZ s.r.o.;Ejpovice;CZ;LOG-01
CBRE s.r.o.;Praha;CZ;FAC-03
Louda Auto a.s.;Nymburk;CZ;LOG-03
